geo_id,energy_power_wind_turbine_offshore_full_load_hours,energy_power_wind_turbine_inland_full_load_hours
AT,2413.5576,2413.5576
BE,2205.431,2714.7834
BG,1869.5268,1869.5268
HR,1332.5665,1332.5665
CY,1037.8417,1037.8417
CZ,2004.8079,2004.8079
DK,2249.3514,3148.1839
EE,2169.0111,2169.0111
FI,2766.0187,3074.6146
FR,2246.0983,4042.6551
DE,1712.2049,2951.7815
EL,2333.8093,2333.8093
HU,2260.9465,2260.9465
IE,2511.0937,2600.4235
IT,1787.8463,1787.8463
LV,2261.1982,2261.1982
LT,2447.5885,2447.5885
LU,2245.5085,2245.5085
NL,2112.5766,2840.0839
PL,2231.6913,2231.6913
PT,2434.508,2434.508
RO,1994.4057,1994.4057
SK,1429.6557,1429.6557
SI,733.3525,733.3525
ES,2429.7544,2429.7544
SE,4189.6761,4189.6761
UK,2223.3584,2223.3584
MT,1787.8463,1787.8463
